user_id,created_at,user_name,email,gender,birth_date,traffic_source
1,2024-08-07 12:19:37.597478,Denise Walker,jpeterson@gmail.com,F,2021-08-17,Paid Search
2,2025-03-11 23:13:55.259497,Heather Cooper,jason41@hotmail.com,F,1984-03-31,Direct
3,2024-11-16 03:27:01.544214,Jamie Mayo,johnhoffman@yahoo.com,F,1997-03-30,Social Media
4,2024-08-11 10:29:44.788347,Zachary Taylor,maldonadoamanda@yahoo.com,M,1999-09-30,Social Media
5,2024-04-24 15:04:25.758271,Jesse Mckay,tracy15@yahoo.com,M,1938-05-14,Organic Search
6,2024-04-11 13:21:08.293293,Katelyn Jones,briannasmith@hotmail.com,F,1983-10-19,Organic Search
7,2024-05-04 10:02:10.380740,Andrea Young,amandataylor@gmail.com,F,1942-11-25,Organic Search
8,2024-03-30 05:44:51.334657,Shannon Pierce,rodney87@gmail.com,F,1932-08-13,Email
9,2025-05-17 03:02:33.924995,Kimberly Adkins,richarddavid@hotmail.com,F,1939-02-24,Social Media
10,2026-02-03 06:01:50.274701,Lauren Mills,nicole35@yahoo.com,F,1928-11-20,Social Media
11,2025-05-28 10:11:07.529555,William Valdez,prestonjulia@gmail.com,M,1942-03-08,Organic Search
12,2025-12-24 00:39:26.197190,Mark Baker,russellwilliams@yahoo.com,M,2014-11-14,Direct
13,2026-05-07 01:35:34.527392,Christine Wright,ebrennan@gmail.com,F,1933-09-27,Email
14,2026-07-18 03:31:54.575858,Robert Perez,yreed@yahoo.com,M,1961-03-18,Organic Search
15,2025-08-15 20:25:32.761102,Laura Scott,angela36@hotmail.com,F,2019-09-03,Organic Search
16,2025-01-06 07:35:58.535554,Elizabeth Kelley,lindsayhernandez@gmail.com,F,1938-12-28,Organic Search
17,2024-11-14 06:55:38.213886,Stacey Johnston,stephanie79@hotmail.com,F,2014-01-24,Paid Search
18,2023-10-11 22:13:29.772216,Patrick Wells,calebrussell@hotmail.com,M,1964-08-20,Paid Search
19,2025-03-11 22:48:17.105557,Randy Shah,dramsey@gmail.com,M,2024-05-09,Paid Search
20,2023-09-07 16:48:38.448277,Matthew Miller,debraharrington@hotmail.com,M,1915-04-05,Organic Search
21,2023-09-01 20:04:43.882958,Alicia Hernandez,stricklandfrank@yahoo.com,F,1923-02-17,Social Media
22,2024-12-20 10:42:01.663242,Terry Brooks,xgarcia@hotmail.com,M,2014-01-05,Organic Search
23,2026-06-08 12:16:23.435168,Morgan Sheppard,joshua94@hotmail.com,F,1911-10-08,Organic Search
24,2024-03-02 17:14:57.118588,Jennifer Peters,qnelson@gmail.com,F,1924-08-02,Paid Search
25,2025-01-10 05:41:15.701323,Tiffany Vaughn,agarcia@hotmail.com,F,1943-07-29,Paid Search
26,2026-07-24 11:56:07.354894,Anthony Everett,chayes@yahoo.com,M,2010-05-15,Email
27,2024-05-20 13:52:23.438490,Antonio Choi,jacqueline71@hotmail.com,M,1937-08-31,Organic Search
28,2026-02-05 16:14:37.857890,Kimberly Holland,cassandra01@gmail.com,F,2022-03-04,Paid Search
29,2025-07-30 16:57:03.264354,Miss Debra Williams PhD,hodgemark@hotmail.com,F,1968-01-24,Social Media
30,2023-09-05 07:59:38.120796,Joshua Gibson,sarakim@hotmail.com,M,1966-10-25,Organic Search
31,2024-06-02 09:21:41.084622,Emily Smith,sandraromero@gmail.com,F,2010-10-25,Social Media
32,2025-07-31 22:01:01.534577,Richard Adams,zthornton@yahoo.com,M,1955-05-17,Organic Search
33,2026-08-01 14:23:41.590857,Amanda Shaw,williamsonjimmy@hotmail.com,F,2017-06-01,Organic Search
34,2023-10-30 05:27:32.182399,Annette Schultz,yknight@gmail.com,F,1930-04-23,Direct
35,2023-11-29 13:29:49.010755,David Durham,mbruce@yahoo.com,M,2009-07-29,Direct
36,2023-12-26 16:34:45.047483,Kenneth Haney,parkerscott@hotmail.com,M,1952-11-29,Email
37,2026-05-30 23:55:30.975484,Jason Gonzalez,emily49@yahoo.com,M,2005-12-27,Paid Search
38,2025-07-22 07:28:14.259461,Kaitlyn Harvey,umatthews@gmail.com,F,2013-04-19,Organic Search
39,2024-03-16 13:09:16.481536,Todd Ramirez,williamsmatthew@gmail.com,M,2001-11-17,Social Media
40,2025-01-07 12:46:46.605780,Robin Hall,martinezrobert@gmail.com,F,1997-02-01,Paid Search
41,2025-05-29 01:53:02.283421,Brian Gordon,oscar98@yahoo.com,M,1963-03-22,Organic Search
42,2024-10-27 19:57:20.726936,Ashley Pena,willisanna@yahoo.com,F,1988-04-23,Paid Search
43,2026-03-14 19:49:45.359248,Nathan Schmitt,jacqueline45@yahoo.com,M,1911-04-19,Organic Search
44,2024-11-17 18:21:55.095814,Patrick Bonilla,nperry@hotmail.com,M,1923-10-17,Direct
45,2026-03-05 22:51:53.399666,Kevin Rose,vincentwhitaker@yahoo.com,M,1918-12-13,Organic Search
46,2025-12-05 09:29:12.677188,Julia Miller,vharrell@yahoo.com,F,1936-04-16,Social Media
47,2024-07-09 19:41:17.781732,Ashley Hicks,laura90@yahoo.com,F,1969-06-10,Paid Search
48,2025-06-02 21:01:46.656092,Jacob Mitchell,benjaminzimmerman@yahoo.com,M,1971-05-20,Paid Search
49,2024-09-20 10:26:50.253646,Douglas Ortiz,tanderson@gmail.com,M,1946-07-02,Paid Search
50,2024-02-02 02:02:09.253136,Michael Calderon,francisguerra@hotmail.com,M,2004-06-09,Organic Search
51,2025-04-03 07:43:09.713806,Jackson Ball,moniquewilliams@yahoo.com,M,2011-12-27,Direct
52,2026-05-20 14:59:44.014466,Kelli Martinez,joe15@gmail.com,F,1913-11-10,Email
53,2025-06-27 03:30:07.807012,Chad Mitchell,fbrown@hotmail.com,M,1972-10-09,Direct
54,2025-06-23 02:15:19.315019,Doris Smith,kellycarlos@gmail.com,F,1995-08-11,Email
55,2025-03-21 17:02:11.097307,Harold Morgan,stewartkyle@yahoo.com,M,2025-04-30,Social Media
56,2025-09-29 01:23:19.087760,Matthew Mitchell,curtis54@yahoo.com,M,1962-04-26,Direct
57,2024-12-09 16:32:45.164124,Heather Williams,michael90@hotmail.com,F,1928-05-22,Organic Search
58,2025-09-14 03:05:08.026815,Phillip Berry,hmcintyre@yahoo.com,M,2000-06-26,Organic Search
59,2025-12-19 13:58:44.070427,Mrs. Sydney Henry MD,laurahicks@gmail.com,F,2024-11-12,Organic Search
60,2023-12-24 02:01:18.953487,Allison Spencer,david89@gmail.com,F,1999-08-27,Paid Search
61,2026-06-09 01:00:29.963123,Kelly Torres,megan90@gmail.com,F,1920-01-05,Paid Search
62,2025-02-18 23:22:58.409432,Randall Butler,jessica56@gmail.com,M,1998-10-29,Organic Search
63,2026-03-24 22:06:17.920790,Julie Adams,james27@hotmail.com,F,1964-09-27,Email
64,2025-11-19 06:33:18.535390,Tony Wagner,michaelroberts@yahoo.com,M,1969-01-30,Paid Search
65,2026-01-28 06:33:50.452777,Marcus Carr,francisco94@hotmail.com,M,1949-08-10,Organic Search
66,2024-11-29 22:55:14.796731,Elijah Cabrera,anthonyvaughan@gmail.com,M,1932-09-20,Paid Search
67,2024-04-30 19:35:19.836355,Michael Jenkins,erica49@yahoo.com,M,1932-11-22,Organic Search
68,2024-01-02 02:42:41.183778,William Evans,jamesryan@hotmail.com,M,1991-05-07,Email
69,2025-03-13 01:51:19.365191,Mckenzie Schmidt,justin01@hotmail.com,F,1977-03-10,Organic Search
70,2025-10-13 19:15:11.937477,Carrie Khan,znelson@gmail.com,F,1948-12-12,Direct
71,2025-09-01 18:44:08.551188,Adrian Rogers,kevin90@yahoo.com,M,1986-06-01,Email
72,2025-04-13 20:54:32.284724,Julie Moore,foxallison@yahoo.com,F,1919-08-26,Organic Search
73,2024-05-09 12:20:19.856232,Stephanie Harris,tchambers@hotmail.com,F,1913-02-11,Organic Search
74,2024-09-26 18:58:47.072420,Laura Williams,robert26@yahoo.com,F,2025-10-05,Email
75,2026-03-30 01:12:05.211479,Michael Stanley,johnsondonna@hotmail.com,M,1999-06-14,Social Media
76,2026-07-19 17:55:05.758524,Andrea Wheeler,barbara53@yahoo.com,F,2012-03-27,Social Media
77,2024-11-03 01:49:48.370377,Denise Hawkins,lindamelendez@hotmail.com,F,1958-06-17,Email
78,2023-12-11 05:54:11.003070,Dawn Rivera,susan03@gmail.com,F,2022-03-11,Organic Search
79,2025-04-30 06:41:23.269689,Michael Padilla,joycesmith@hotmail.com,M,2019-01-08,Paid Search
80,2024-01-17 04:28:30.044984,Craig Hall,otaylor@gmail.com,M,1918-06-22,Organic Search
81,2024-12-19 15:11:54.042862,Jacqueline Williamson,joseph61@yahoo.com,F,2021-11-13,Email
82,2025-01-06 17:10:13.135438,Courtney Sutton DVM,hallrachel@hotmail.com,F,2013-07-18,Social Media
